"","Path","Filename","HiF","LoF","SppAccp","Prob","calls.sec","X1st","X.Spp","X.Prob","source"
"4158","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094813-noID.wav","IRON05_20210730_094813-noID.wav",NA,1,"",NA,53.64,"Laci","Laci","0.9642","v.4.4.5"
"4159","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094830-noID.wav","IRON05_20210730_094830-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4160","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094847-noID.wav","IRON05_20210730_094847-noID.wav",NA,NA,"",NA,29.07,"","","","v.4.4.5"
"4161","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094904-noID.wav","IRON05_20210730_094904-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4162","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094922-noID.wav","IRON05_20210730_094922-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4163","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094937-noID.wav","IRON05_20210730_094937-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4164","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_094954-noID.wav","IRON05_20210730_094954-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4165","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095011-noID.wav","IRON05_20210730_095011-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4166","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095028-noID.wav","IRON05_20210730_095028-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4167","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095045-noID.wav","IRON05_20210730_095045-noID.wav",NA,1,"",NA,62.19,"","","NaN/NaN","v.4.4.5"
"4168","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095331-noID.wav","IRON05_20210730_095331-noID.wav",NA,1,"",NA,50.32,"","","NaN/NaN","v.4.4.5"
"4169","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095348-noID.wav","IRON05_20210730_095348-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4170","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095421-noID.wav","IRON05_20210730_095421-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4171","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095438-noID.wav","IRON05_20210730_095438-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4172","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095455-noID.wav","IRON05_20210730_095455-noID.wav",NA,NA,"",NA,53.64,"","","","v.4.4.5"
"4173","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095512-noID.wav","IRON05_20210730_095512-noID.wav",NA,1,"",NA,54.91,"","","NaN/NaN","v.4.4.5"
"4174","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095529-noID.wav","IRON05_20210730_095529-noID.wav",NA,1,"",NA,40.7,"","","NaN/NaN","v.4.4.5"
"4175","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095537-noID.wav","IRON05_20210730_095537-noID.wav",NA,NA,"",NA,57.66,"","","","v.4.4.5"
"4176","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095554-noID.wav","IRON05_20210730_095554-noID.wav",NA,1,"",NA,62.05,"","","NaN/NaN","v.4.4.5"
"4177","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095611-noID.wav","IRON05_20210730_095611-noID.wav",NA,1,"",NA,48.72,"","","NaN/NaN","v.4.4.5"
"4178","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095628-noID.wav","IRON05_20210730_095628-noID.wav",NA,1,"",NA,63.48,"Laci","Laci/","1.00/0.00","v.4.4.5"
"4179","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095645-noID.wav","IRON05_20210730_095645-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4180","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095702-noID.wav","IRON05_20210730_095702-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4181","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095719-noID.wav","IRON05_20210730_095719-noID.wav",NA,1,"",NA,69.42,"","","NaN/NaN","v.4.4.5"
"4182","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095736-noID.wav","IRON05_20210730_095736-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
"4183","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095753-noID.wav","IRON05_20210730_095753-noID.wav",NA,NA,"",NA,61.78,"","","","v.4.4.5"
"4184","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095810-noID.wav","IRON05_20210730_095810-noID.wav",NA,1,"",NA,65.89,"Laci","Laci","0.9422","v.4.4.5"
"4185","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095827-noID.wav","IRON05_20210730_095827-noID.wav",NA,1,"",NA,68.84,"","","NaN/NaN","v.4.4.5"
"4186","Z:\PioneerLights_2021\iron05\sm4\07292021\SDHC\Data\IRON05_20210730_095844-noID.wav","IRON05_20210730_095844-noID.wav",NA,NA,"",NA,Inf,"","","","v.4.4.5"
